Genes,Cluster
100_2,2
101_3,3
102_2,0
103_3,2
104_2,2
105_2,2
106_4,0
107_4,1
109_1,1
11_4,1
110_3,1
111_2,0
112_2,0
113_2,2
114_3,2
115_1,3
116_4,0
117_1,1
119_1,1
120_1,0
121_3,0
122_2,2
123_3,1
124_4,0
125_4,1
126_1,1
127_2,1
128_3,1
129_2,2
130_3,1
131_3,1
132_3,1
133_4,2
134_2,0
136_2,2
137_1,1
138_2,0
139_1,1
141_2,1
142_1,1
144_3,1
145_1,1
146_2,1
147_2,0
148_4,1
149_1,1
15_2,0
150_4,1
152_2,0
153_1,1
154_2,0
155_3,0
156_2,0
157_4,2
158_3,2
159_3,1
160_4,1
161_2,0
162_1,1
163_1,2
165_2,0
166_2,2
167_2,2
168_2,2
17_1,0
171_2,2
172_1,2
173_1,3
174_2,2
176_2,2
177_1,2
178_4,2
179_2,2
18_1,1
180_2,2
181_2,2
182_2,2
183_2,2
184_3,2
185_2,2
186_2,2
187_2,2
188_2,0
189_1,3
19_2,2
190_2,2
191_3,2
192_2,1
193_2,0
196_3,2
197_2,1
198_4,1
199_2,1
2_1,1
20_2,2
200_2,0
201_2,2
202_3,0
203_4,2
204_3,2
205_2,2
206_3,0
207_2,2
208_3,2
209_4,2
21_2,0
212_3,2
215_2,1
216_2,0
217_1,0
218_1,0
219_2,0
22_2,0
220_2,2
221_3,2
223_4,0
224_4,0
225_2,2
226_4,0
227_2,0
228_4,0
229_1,2
23_2,3
232_4,2
233_2,0
234_4,0
235_3,0
236_3,0
237_1,0
24_2,1
240_2,2
241_3,2
242_3,0
243_1,0
244_3,0
245_3,0
246_1,0
247_3,0
248_3,1
249_4,2
25_3,0
250_3,2
251_1,2
252_2,0
253_4,2
254_1,1
26_3,1
263_3,0
264_1,0
265_1,0
266_1,0
267_2,1
268_3,0
269_3,0
27_2,1
270_4,2
271_2,2
272_4,2
273_2,1
276_2,2
277_2,1
278_3,2
279_2,0
28_2,2
280_4,1
281_2,0
283_3,2
284_4,2
285_3,0
286_1,0
287_2,0
288_1,0
289_2,0
29_3,0
291_1,3
292_1,2
293_1,2
294_4,2
295_1,2
296_3,2
298_3,1
299_3,2
30_2,3
300_4,0
301_2,0
302_4,2
303_2,0
305_2,0
307_1,1
308_1,1
309_2,0
310_2,1
311_1,1
312_2,1
313_1,1
314_1,1
315_1,1
316_1,2
317_1,0
318_1,2
319_1,2
32_1,1
320_1,2
321_1,2
322_1,3
324_1,3
326_2,3
327_2,3
328_2,2
329_2,3
33_4,1
330_2,2
331_2,2
332_2,2
333_3,2
334_4,3
335_1,3
336_3,2
337_2,3
339_2,0
34_2,2
340_2,2
341_2,2
342_2,2
343_2,2
345_3,0
347_1,0
348_1,3
349_1,2
35_1,3
350_1,3
351_1,2
352_1,3
353_1,3
354_1,2
355_1,3
356_1,3
357_2,2
358_2,3
359_2,2
360_2,2
361_2,2
362_2,2
363_2,2
364_4,2
365_3,2
367_3,2
368_3,3
369_2,2
37_2,2
370_3,2
371_3,2
372_3,2
374_3,3
375_1,2
376_1,2
377_1,2
378_2,2
379_1,2
38_2,3
380_2,0
382_3,2
383_4,2
384_1,2
385_3,3
386_1,2
387_2,2
388_4,3
389_1,2
39_2,0
390_2,2
391_2,2
392_3,2
394_1,2
396_1,2
397_4,1
398_3,3
399_3,3
4_1,0
40_2,2
401_2,1
402_3,2
403_4,2
404_1,2
405_1,2
406_1,3
407_2,2
409_3,2
41_1,0
410_2,2
411_4,0
412_3,1
413_1,1
414_1,1
415_1,1
416_4,1
417_4,2
418_3,3
419_4,2
42_1,1
420_4,2
421_3,3
422_3,3
423_2,3
424_2,2
425_1,2
426_3,2
427_2,2
428_4,1
429_3,3
43_1,1
430_3,1
431_3,1
432_3,1
433_2,1
434_2,3
435_2,3
436_2,1
437_4,1
438_2,1
440_2,3
441_2,3
442_2,1
443_2,1
445_2,2
446_3,3
447_1,3
448_3,3
449_3,3
45_3,1
450_3,3
451_4,3
452_1,3
453_2,0
454_3,3
456_3,1
457_3,1
458_3,1
459_4,1
46_4,2
461_3,1
462_3,0
463_3,3
464_3,3
465_2,2
466_1,3
467_3,1
468_1,3
47_4,2
470_2,2
471_2,3
473_4,1
474_3,2
475_3,2
476_3,2
477_4,1
478_3,0
479_2,3
48_2,2
480_1,2
482_3,0
483_3,3
484_4,2
485_2,2
486_2,2
487_2,2
488_2,2
489_3,1
49_2,1
490_1,1
491_1,1
492_3,1
494_2,3
495_1,1
496_3,3
497_4,0
499_1,1
50_2,1
500_3,1
501_1,1
502_2,1
503_1,2
504_2,1
505_2,1
506_1,3
507_2,3
508_2,1
509_4,1
51_2,2
510_2,1
511_3,1
512_2,2
514_3,3
515_4,3
516_4,3
517_1,2
518_1,1
519_3,1
520_3,3
521_4,3
522_2,3
523_4,2
524_2,1
525_2,1
526_1,3
527_3,3
528_2,1
529_2,1
53_2,0
530_3,0
55_3,2
56_2,1
57_2,1
58_2,0
59_3,1
6_1,0
60_4,1
62_2,0
63_2,2
65_2,1
66_3,1
67_3,1
68_2,0
7_3,2
70_3,1
71_2,0
72_2,2
73_4,1
75_2,2
76_3,1
77_2,2
78_3,1
79_3,1
8_2,2
80_2,0
81_1,1
82_2,2
84_2,1
85_2,1
86_2,2
87_2,1
89_1,1
9_1,0
90_2,2
91_2,0
92_3,1
93_2,0
94_4,1
95_4,1
96_3,2
97_2,2
98_3,2
99_1,0
